,quadrant,male,age,region,country_income,iba_iem_gem,major,ibcm_jsc,gpa,finance,parents_employmnent,germany,parents_self,parents_invest,parents_business,safety,perfectionist,leader,teamwork,open_ended,people,Investor,Employee,Self-employed,None of the above,Business owner
0,Investor Business owner,0,20,Latin America and the Caribbean,0,1,GEM,1,1.42,1,1,1,0,0,0,1,3,5,4,,4,1,0,0,0,1
1,Investor Business owner,1,21,Latin America and the Caribbean,0,1,IEM,1,1.5,1,1,1,0,0,0,1,2,4,5,,5,1,0,0,0,1
2,Business owner,1,21,Western Europe,1,0,IRPH,0,1.67,1,1,1,0,0,0,2,1,5,4,,4,0,0,0,0,1
3,Self-employed Investor Business owner,1,22,Latin America and the Caribbean,1,1,IBA,1,1.3,1,1,1,1,1,1,2,5,3,2,,3,1,0,1,0,1
4,Investor,0,21,Latin America and the Caribbean,0,0,ISCP,0,1.08,0,1,1,1,1,0,1,2,3,3,,5,1,0,0,0,0
5,Business owner,0,23,Western Europe,1,1,IEM,0,2.97,1,1,0,1,1,0,2,2,5,5,,5,0,0,0,0,1
6,Employee,1,21,South Asia,0,1,IEM,0,1.67,0,1,1,0,0,0,5,4,1,1,,1,0,1,0,0,0
7,Business owner,0,20,Eastern Europe,0,1,IEM,0,1.33,1,1,1,0,1,0,1,2,5,5,,5,0,0,0,0,1
8,Employee,0,20,Latin America and the Caribbean,0,1,IEM,0,2,0,1,1,0,1,0,5,5,1,1,,2,0,1,0,0,0
9,Employee,0,20,Middle East and North Africa,0,0,IRPH,0,2,1,1,1,0,0,0,4,4,1,1,,1,0,1,0,0,0
10,Employee,1,20,Western Europe,1,1,IBA,0,3.44,0,1,1,0,1,0,5,5,1,2,,2,0,1,0,0,0
11,Self-employed,0,22,Middle East and North Africa,1,1,GEM,1,1.1,1,1,1,1,1,0,3,4,5,4,No. I always cared for managing my money and my expenses to better benefit from it in thr future,3,0,0,1,0,0
12,Employee,0,20,Latin America and the Caribbean,0,1,IEM,0,2,0,0,1,1,1,0,4,5,4,5,Since I maintain myself managing the money I get from my job is a big impact. I consider all the possible situations a could be in the future. ,5,0,1,0,0,0
13,Employee,0,20,Eastern Europe,0,1,IEM,0,1.3,1,1,1,0,1,0,5,5,5,5,"It has, i am more self aware, more cautious,very different from back home since its my own money that I am earning and since my parents are senfing me the money I am more careful about it.",3,0,1,0,0,0
14,Employee,1,20,Western Europe,1,1,IBA,0,3.4,1,1,1,0,1,0,3,2,2,3,,2,0,1,0,0,0
15,Self-employed Investor,0,21,Latin America and the Caribbean,0,0,ISCP,0,1.08,0,1,1,1,1,0,4,4,3,3,I had to learn to manage my personal finances,5,1,0,1,0,0
16,Self-employed Investor Business owner,1,22,Latin America and the Caribbean,1,1,IBA,1,1.3,1,1,1,1,1,1,4,5,5,3,Yes,5,1,0,1,0,1
17,Employee,1,21,North America,1,1,IEM,1,1.6,1,1,1,1,0,0,5,3,5,5,"Germany values security over everything, especially when it comes to finances. Rather than blindly adopt this approach, I try to learn from it while maintaining my own “best practices”.",3,0,1,0,0,0
18,Self-employed,1,22,Western Europe,1,1,IEM,1,2,0,1,1,0,1,0,4,4,4,3,"Yes, tax is crazy. Inflation is mad, invest your money",2,0,0,1,0,0
19,Investor Business owner,0,20,Latin America and the Caribbean,0,1,GEM,1,1.5,1,1,1,0,0,0,2,2,5,4,,3,1,0,0,0,1
20,Employee,1,21,Latin America and the Caribbean,0,1,GEM,0,2.1,0,1,1,0,0,0,5,3,3,3,"Yes. It made me understand the importance of money, and responsibility of said money. ",4,0,1,0,0,0
21,Investor Business owner,1,19,Southeast Asia,1,0,Robotics,0,2.43,1,0,1,1,1,0,3,2,3,4,"A lot. Too many reasons, to start with made me more ambitious for money.",3,1,0,0,0,1
22,Employee Investor Business owner,1,21,Latin America and the Caribbean,0,1,IEM,1,1.5,1,1,1,0,0,0,4,4,4,3,"Yes, I have a better perspective about money, and have learned that a job is not a safe place. It has then altered my brain, and I am now learning about personal finance.",4,1,1,0,0,1
23,Employee,1,21,Western Europe,1,0,IRPH,0,1.87,0,1,1,0,0,0,2,3,5,4,no,1,0,1,0,0,0
24,Employee,0,21,Western Europe,1,0,BCCB,0,1.42,0,1,1,0,0,0,3,3,3,2,,1,0,1,0,0,0
25,Employee Self-employed Investor Business owner,1,19,Eastern Europe,1,0,CS,0,3,0,1,0,1,0,0,4,4,2,2,,4,1,1,1,0,1
26,Employee Investor,1,28,Western Europe,1,1,IBA,1,2,1,1,1,1,1,0,3,1,4,4,I did not move to Germany.,5,1,1,0,0,0
27,None of the above,0,18,South Asia,1,0,CS,0,3,0,1,0,0,0,0,5,4,3,4,,1,0,0,0,1,0
