,quadrant,male,age,region,country_income,iba_iem_gem,major,ibcm_jsc,gpa,finance,parents_employmnent,germany,parents_self,parents_invest,parents_business,safety,perfectionist,leader,teamwork,open_ended,people,Investor,Employee,Self-employed,None of the above,Business owner
28,None of the above,0,18,Middle East and North Africa,1,0,CS,0,1.67,0,1,0,0,0,0,4,5,3,3,"Moving to Germany made me realize that I can only rely on myself in all aspects (of course, with God’s guidance). It altered my mindset, knowing that I am the one who can take hold of my future and have the responsibility of all the financing actions in order to reach it.",1,0,0,0,1,0
29,Self-employed Investor,1,22,Latin America and the Caribbean,0,1,GEM,1,1.46,1,1,1,1,1,0,5,4,4,2,"No, I feel like my financial knowledge is not related to me moving to Germany.",3,1,0,1,0,0
30,Employee,0,24,Africa,1,0,EES,1,2.1,0,1,1,0,1,0,4,5,3,4,"Yes, moving to impacted how I manage my money. I try to save money and think about what I buy before spend any money. I often do price comparisons when shopping.",2,0,1,0,0,0
31,Employee Self-employed,1,22,Southeast Asia,1,0,ECE,0,"I dont know ,average low",0,0,1,1,0,1,4,4,4,3,,1,0,1,1,0,0
32,Business owner,0,21,Africa,1,0,ECE,0,3.5,0,1,0,1,1,0,4,4,5,5,yes because I have to budget most of the things myself so that I do not go broke or overspent which will be detrimental to my health and stay in the country,2,0,0,0,0,1
33,Employee Investor Business owner,1,20,North America,1,0,CBT,1,2,1,1,1,0,1,0,4,5,5,2,-,3,1,1,0,0,1
34,Employee,1,22,East Asia,1,0,IRPH,0,1.19,1,1,1,1,1,0,4,5,5,3,,1,0,1,0,0,0
35,None of the above,1,21,Latin America and the Caribbean,0,1,GEM,1,2.3,1,1,1,1,1,1,5,4,3,4,"Yes, I prioritize different things now and have learned to save more",4,0,0,0,1,0
36,Employee,0,23,Western Europe,1,1,GEM,0,1.3,1,1,1,0,1,0,4,4,3,3,,4,0,1,0,0,0
37,Investor Business owner,0,20,Latin America and the Caribbean,0,1,IEM,1,First year :/,1,1,1,1,1,1,4,3,3,4,"Yes, living alone has given me a better understanding of my financial situation",2,1,0,0,0,1
38,Employee,1,20,Eastern Europe,0,1,GEM,1,1.4,1,1,1,1,1,0,5,5,5,5,,5,0,1,0,0,0
39,Employee,0,20,Latin America and the Caribbean,1,0,ISCP,0,1.5,0,1,1,1,1,0,4,4,4,3,,2,0,1,0,0,0
40,Employee,0,19,Latin America and the Caribbean,1,0,IRPH,0,1.67,1,1,1,1,0,1,5,4,4,5,"Yes,  currently I make monthly plans on my finances. I am now more aware of expenses and try to make monthly savings",3,0,1,0,0,0
41,Employee,1,21,Latin America and the Caribbean,0,1,IBA,1,2,1,0,1,1,0,1,5,4,5,4,I believe it provided a better perspective when it comes to seeking financial stability,1,0,1,0,0,0
42,Business owner,1,19,Latin America and the Caribbean,0,1,IBA,0,2.1,0,1,1,0,1,0,4,4,4,3,"yes, because living here without my parents made me think more of how important is to have a good management of your own money ",4,0,0,0,0,1
43,Employee Investor,1,18,Latin America and the Caribbean,1,1,IEM,1,1.33,1,1,0,1,1,1,4,4,3,2,Yes,3,1,1,0,0,0
44,Employee Investor,1,21,Latin America and the Caribbean,0,0,Physics,0,1.26,0,1,1,1,0,0,4,5,4,4,"Moving to Germany has made me more aware of  where I spend my money, probably because I have become way more financially independent since I moved to Germany.",2,1,1,0,0,0
45,Employee,0,21,Eastern Europe,0,1,GEM,1,1.33,1,1,1,0,0,0,5,3,5,3,,2,0,1,0,0,0
46,Employee,0,20,Latin America and the Caribbean,1,1,GEM,1,1.33,0,0,1,1,0,1,5,5,2,2,"After moving to Germany, I have become more financially independent and therefore more financially conscious ",2,0,1,0,0,0
47,Employee Investor Business owner,1,22,Africa,0,0,CS,1,2.35,1,1,1,1,1,0,3,5,0,0,,3,1,1,0,0,1
48,Employee Self-employed Investor,1,22,Western Europe,1,0,IRPH,1,1,1,1,1,0,1,0,5,4,4,5,Lived in Germany most of my life.,5,1,1,1,0,0
49,Employee Self-employed,Non-binary,20,North America,1,0,EES,0,idk maybe 2.5,0,1,1,0,1,0,4,3,4,1,"it has impacted my way of managing and seeking out money/employment. here it seems much more relaxed and up to the individual, and everyone can basically live how they want since income and regional taxes dont vary as much in DE as they do in the US.",1,0,1,1,0,0
50,Investor,1,21,Latin America and the Caribbean,0,1,IBA,1,3,1,1,1,1,1,0,5,4,5,4,"Living alone has changed the way I manage my money, so yes!",4,1,0,0,0,0
51,None of the above,1,21,Western Europe,1,1,IEM,0,1.91,0,1,1,0,0,0,5,5,4,2,,2,0,0,0,1,0
52,Investor,1,20,Western Europe,1,1,IEM,0,2.5,1,0,1,0,1,1,4,3,4,4,"Nope, lived in Germany my entire life, when it comes to money my parents have educated me on how to manage it",5,1,0,0,0,0
53,Employee,1,20,Eastern Europe,0,0,CS,0,2,1,1,1,0,0,0,2,4,4,5,Yea,4,0,1,0,0,0
54,None of the above,0,19,Eastern Europe,0,0,CS,0,"2,25",1,0,0,1,1,0,2,4,4,3,"Yes, because I am somehow financially aware of my expenses for groceries.",3,0,0,0,1,0
55,Employee Self-employed,0,19,Eastern Europe,0,0,CS,0,1.33,1,1,0,1,1,1,5,5,5,1,YES!,2,0,1,1,0,0
56,Self-employed,1,20,Western Europe,1,0,CS,0,2.47,1,1,0,1,0,0,2,4,4,4,"yeah, it's more expensive",5,0,0,1,0,0
57,None of the above,0,18,Eastern Europe,0,0,CBT,0,2.33,1,1,0,1,1,0,2,4,4,5,Yes I have learned how to manage my own money and save more,2,0,0,0,1,0
58,Employee,1,19,Eastern Europe,0,0,ECE,0,3.29,0,1,1,0,0,0,4,4,3,3,Things in Germany are more expensive.,1,0,1,0,0,0
59,Business owner,1,18,Western Europe,0,0,CS,1,2.38,0,1,0,0,1,1,5,0,5,2,,3,0,0,0,0,1
60,Employee,0,18,Eastern Europe,0,1,GEM,1,1.35,1,0,1,1,1,0,4,3,3,4,"Yes, I stated to think more about investment and financial stability.",3,0,1,0,0,0
61,Employee Self-employed,1,18,Eastern Europe,0,0,ECE,0,2.5,0,1,0,0,0,0,3,3,1,3,"Yes. Coming here has made me value money more, as everything is more expensive here. It also made me more seriously consider self employment as opposed to wage labour and employment for my future.",2,0,1,1,0,0
62,Self-employed,1,19,Eastern Europe,0,0,Robotics,0,5,1,1,0,0,0,0,0,4,5,5,,2,0,0,1,0,0
63,Investor Business owner,1,23,Eastern Europe,0,0,Physics,0,Prefer not to say,1,1,1,1,0,0,4,4,5,4,"Yes a little bit, because being new here and not knowing the culture and people make you feel a little bit reserved to everything",3,1,0,0,0,1
64,Employee,1,21,Eastern Europe,0,0,Aerospace Engineering Sergei Belussov,0,1.12,0,0,0,0,0,0,3,3,3,3,No. I am Ukrain.,0,0,1,0,0,0
65,Employee,1,18,Western Europe,0,0,CS,0,1.68,1,1,0,1,0,0,5,4,5,5,Living here is so much more expensive than in my home country so it has pushed me to save more and dont spend recklessly ,5,0,1,0,0,0
66,Employee,0,19,Africa,0,0,CBT,0,1.53,0,1,0,1,1,0,4,2,2,2,Yes it has. Since comming to germany I have become more responsible with my money and try to save as much as I can because now I am on my own I feel resposible for my expences,2,0,1,0,0,0
67,Employee,0,18,Eastern Europe,1,0,BCCB,0,3.77,1,1,0,0,0,0,5,4,3,5,I spend money much more efficiently and I have registered for finance and accounting class as a minor to help me with my financial future and know how to make my financial decisions in the future. ,2,0,1,0,0,0
68,Employee Investor,1,22,Africa,0,1,IEM,1,1.62,1,0,1,1,1,0,4,3,4,4,Yes. I have to budget for myself.,4,1,1,0,0,0
69,Investor Business owner,1,22,Latin America and the Caribbean,1,1,IEM,1,2,1,0,1,1,1,1,4,4,4,4,"Monthly deposits by my parents have held me responsible for buying groceries and leisure activities. From this money I have also learned to save part of it to make a monthly deposit into the stock market, the more I can save by the end of the month the more I invest in the stock market. This has taught me the value of money, how to save money and how to invest minimising risk.",4,1,0,0,0,1
70,Employee,1,21,Latin America and the Caribbean,0,1,GEM,0,2.49,0,1,1,1,0,0,3,0,3,0,"Yes, on one hand I spend more money than before, but at the same time I'm more careful where I spend my money",2,0,1,0,0,0
